tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,senior_citizen,dependents,tech_support,streaming,churn
65,89.0,5619.08,Month-to-month,Credit card,Fiber optic,0,0,1,0,0
29,62.19,1911.57,Month-to-month,Credit card,Fiber optic,0,0,0,0,1
8,16.21,231.94,Two year,Credit card,Fiber optic,0,1,1,1,0
44,14.29,484.2,One year,Credit card,None,0,1,1,1,0
6,15.58,66.97,Month-to-month,Electronic check,DSL,0,1,1,0,0
66,47.34,3053.49,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
53,112.15,5954.34,Month-to-month,Bank transfer,None,0,1,0,0,1
22,46.17,1013.29,Month-to-month,Electronic check,Fiber optic,0,1,0,1,1
38,99.66,3797.7,Month-to-month,Electronic check,Fiber optic,1,0,0,1,1
26,80.89,2126.01,Month-to-month,Electronic check,Fiber optic,0,0,0,1,1
69,87.32,6074.14,Month-to-month,Electronic check,Fiber optic,0,1,0,1,0
30,82.14,2364.18,Two year,Bank transfer,Fiber optic,0,1,0,1,0
23,32.2,626.72,Two year,Bank transfer,Fiber optic,1,0,1,0,0
33,105.92,3476.96,Month-to-month,Bank transfer,DSL,0,0,0,0,1
64,56.0,3604.27,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
11,112.83,1267.41,Month-to-month,Credit card,None,0,1,0,1,1
36,11.72,378.99,Month-to-month,Credit card,DSL,0,0,1,1,0
34,22.66,841.9,One year,Credit card,Fiber optic,0,1,0,0,0
39,24.77,880.49,Month-to-month,Credit card,Fiber optic,0,0,1,1,1
69,90.02,6152.23,Two year,Bank transfer,None,0,0,1,0,1
24,21.77,578.03,Month-to-month,Credit card,DSL,0,0,1,1,0
1,57.48,101.7,Month-to-month,Bank transfer,DSL,0,0,1,0,1
7,66.49,479.78,Month-to-month,Electronic check,None,0,0,1,0,1
18,66.54,1263.98,One year,Credit card,Fiber optic,0,1,1,0,0
3,42.42,174.18,Month-to-month,Electronic check,Fiber optic,0,0,1,0,0
15,107.0,1573.39,Month-to-month,Credit card,Fiber optic,0,0,0,1,1
47,59.77,2829.17,Two year,Credit card,DSL,1,0,0,1,1
67,29.3,1968.37,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
32,71.35,2229.51,Month-to-month,Electronic check,None,0,1,1,0,1
9,22.39,181.24,One year,Bank transfer,Fiber optic,0,1,0,1,0
42,83.64,3530.57,Month-to-month,Electronic check,DSL,1,1,1,1,1
27,29.07,729.69,Month-to-month,Credit card,Fiber optic,1,0,1,1,1
19,107.95,1996.69,Month-to-month,Electronic check,DSL,0,1,0,1,1
24,18.62,488.76,Month-to-month,Credit card,Fiber optic,0,0,1,0,0
56,44.08,2471.35,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
29,33.74,953.76,Two year,Bank transfer,Fiber optic,0,1,1,0,1
46,72.66,3286.43,Month-to-month,Electronic check,Fiber optic,0,1,1,0,1
65,54.58,3492.98,Month-to-month,Bank transfer,DSL,1,0,1,1,0
2,59.75,167.32,Month-to-month,Credit card,DSL,0,1,1,0,1
25,59.26,1516.18,One year,Electronic check,DSL,0,1,0,1,0
59,77.31,4531.01,Month-to-month,Electronic check,DSL,1,1,0,1,1
37,38.82,1419.82,Month-to-month,Electronic check,Fiber optic,1,0,0,1,0
43,45.42,1911.28,Two year,Bank transfer,None,0,1,0,0,0
48,38.42,1802.48,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
44,25.94,1071.57,One year,Bank transfer,DSL,0,0,0,0,0
2,78.67,160.33,One year,Credit card,Fiber optic,1,0,0,0,0
47,112.74,5288.36,Month-to-month,Bank transfer,DSL,0,0,1,0,0
52,109.93,5718.66,Month-to-month,Credit card,Fiber optic,0,0,1,0,0
28,116.15,3209.68,One year,Electronic check,Fiber optic,0,1,0,1,1
36,22.11,824.67,Month-to-month,Electronic check,None,0,0,1,0,0
23,88.82,2094.1,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
62,18.21,1019.37,Month-to-month,Bank transfer,DSL,0,1,1,0,0
56,99.68,5551.97,Month-to-month,Electronic check,Fiber optic,1,0,0,1,1
26,102.85,2621.14,Month-to-month,Electronic check,DSL,0,1,1,0,1
31,62.72,1925.01,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
58,118.57,6806.62,One year,Bank transfer,Fiber optic,0,0,0,1,0
47,60.98,2896.71,Month-to-month,Bank transfer,Fiber optic,0,1,1,0,1
60,69.53,4166.86,One year,Bank transfer,DSL,0,0,1,0,0
28,47.2,1317.34,Month-to-month,Credit card,DSL,0,1,1,0,1
3,100.04,330.8,One year,Credit card,Fiber optic,0,1,1,0,1
51,72.02,3715.59,One year,Bank transfer,None,0,0,1,0,1
19,65.07,1221.2,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,1
18,56.73,1053.87,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
53,92.87,4939.09,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
5,17.94,72.1,Month-to-month,Bank transfer,DSL,1,1,1,0,1
59,79.56,4691.21,One year,Electronic check,Fiber optic,0,0,1,0,0
4,18.03,24.66,Month-to-month,Bank transfer,None,0,0,0,0,1
31,33.88,1018.3,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
70,13.64,1020.23,Month-to-month,Credit card,Fiber optic,0,1,0,1,0
63,67.14,4317.54,One year,Electronic check,Fiber optic,0,1,0,0,0
1,113.79,121.25,Two year,Electronic check,Fiber optic,0,0,0,1,0
61,33.43,2029.58,One year,Electronic check,DSL,0,1,0,0,0
45,22.42,967.91,One year,Electronic check,DSL,0,0,0,1,0
14,67.92,1037.26,Month-to-month,Electronic check,DSL,0,1,0,0,1
56,12.3,623.07,Month-to-month,Bank transfer,Fiber optic,0,0,1,1,0
55,48.57,2547.38,One year,Bank transfer,Fiber optic,0,0,1,0,1
66,58.98,3885.56,Month-to-month,Electronic check,DSL,0,1,0,0,0
7,18.53,229.51,Month-to-month,Bank transfer,DSL,0,0,0,1,0
49,107.57,5283.47,Month-to-month,Bank transfer,DSL,0,0,0,0,0
4,52.23,248.41,Two year,Electronic check,Fiber optic,0,0,1,0,1
39,74.59,2971.03,Month-to-month,Credit card,Fiber optic,0,0,1,0,0
56,22.39,1223.01,Month-to-month,Electronic check,DSL,0,1,1,1,1
5,116.52,518.22,Two year,Credit card,DSL,0,1,0,0,1
31,30.0,946.47,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
27,61.29,1691.03,Two year,Bank transfer,Fiber optic,0,0,0,0,1
47,19.71,941.34,Month-to-month,Electronic check,None,0,1,0,1,1
56,27.29,1646.65,Month-to-month,Electronic check,None,0,0,1,0,0
42,24.93,989.18,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
55,52.41,2866.87,Month-to-month,Bank transfer,Fiber optic,0,0,0,0,0
27,19.66,496.85,Month-to-month,Bank transfer,None,0,0,1,0,0
64,61.35,3964.21,Month-to-month,Electronic check,Fiber optic,0,0,0,0,0
67,72.17,4850.59,Two year,Credit card,Fiber optic,0,1,0,1,1
22,30.98,687.48,Month-to-month,Bank transfer,DSL,0,1,0,0,1
38,94.44,3608.02,Month-to-month,Credit card,DSL,0,1,1,0,1
45,18.37,822.81,Month-to-month,Credit card,Fiber optic,0,0,0,1,1
50,73.24,3633.01,Month-to-month,Bank transfer,DSL,1,0,0,0,0
46,99.1,4543.41,Month-to-month,Electronic check,Fiber optic,1,0,0,1,1
56,77.55,4374.15,One year,Credit card,Fiber optic,0,0,0,1,0
18,10.49,204.78,Two year,Electronic check,DSL,0,0,1,0,0
63,18.24,1176.43,Month-to-month,Bank transfer,None,0,1,0,0,0
48,15.06,748.99,Month-to-month,Bank transfer,Fiber optic,0,0,0,0,1
70,24.2,1654.07,Two year,Electronic check,Fiber optic,0,0,1,0,0
23,67.89,1543.58,One year,Credit card,Fiber optic,0,0,0,0,0
41,115.52,4709.64,Month-to-month,Electronic check,Fiber optic,0,1,1,0,1
52,50.57,2645.34,Month-to-month,Electronic check,DSL,0,0,0,0,0
66,96.74,6409.48,Month-to-month,Electronic check,Fiber optic,0,1,0,1,1
46,39.73,1874.76,Month-to-month,Electronic check,DSL,0,0,0,1,0
54,116.99,6399.51,Month-to-month,Credit card,DSL,0,0,1,1,1
33,52.1,1749.98,Month-to-month,Bank transfer,Fiber optic,0,1,1,0,0
53,31.46,1646.29,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
5,31.05,116.44,Two year,Electronic check,DSL,0,0,1,0,0
30,22.57,678.59,One year,Bank transfer,DSL,0,1,1,0,0
1,18.96,-0.94,One year,Bank transfer,Fiber optic,0,1,1,0,1
3,111.93,247.77,One year,Credit card,Fiber optic,1,1,1,0,1
48,89.56,4352.28,One year,Electronic check,Fiber optic,0,0,0,0,1
23,26.01,596.75,Two year,Credit card,DSL,0,0,1,0,0
54,76.23,4098.2,Month-to-month,Electronic check,Fiber optic,1,0,1,1,1
44,61.04,2610.96,Month-to-month,Electronic check,DSL,1,0,0,0,1
53,17.93,965.33,Two year,Bank transfer,Fiber optic,0,0,0,1,0
11,118.65,1373.84,Month-to-month,Electronic check,DSL,0,1,0,0,1
9,36.03,395.01,Month-to-month,Electronic check,None,1,0,0,0,0
40,73.07,2965.92,One year,Electronic check,DSL,0,1,0,0,0
57,49.64,2788.09,Month-to-month,Bank transfer,DSL,1,0,1,1,0
68,63.63,4333.94,Month-to-month,Bank transfer,Fiber optic,1,0,1,1,0
17,118.99,2030.32,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,1
71,94.19,6680.98,One year,Bank transfer,Fiber optic,0,0,1,0,1
8,36.22,331.26,Month-to-month,Bank transfer,Fiber optic,0,0,0,0,1
17,87.43,1448.43,Two year,Electronic check,Fiber optic,0,1,1,1,0
3,61.1,307.37,Month-to-month,Credit card,DSL,0,0,1,1,1
5,36.22,264.48,One year,Credit card,None,0,0,0,1,1
67,71.41,4720.64,Month-to-month,Electronic check,None,0,1,1,0,0
30,35.71,1126.15,Two year,Electronic check,Fiber optic,0,0,1,0,1
64,99.31,6354.1,Month-to-month,Electronic check,DSL,0,0,1,0,1
25,42.39,1133.64,Month-to-month,Bank transfer,DSL,0,0,0,0,1
65,20.84,1299.9,Month-to-month,Electronic check,DSL,0,1,0,0,0
5,104.92,480.56,One year,Electronic check,Fiber optic,1,0,0,1,0
22,28.63,663.85,Month-to-month,Electronic check,Fiber optic,0,0,1,1,1
28,87.92,2604.83,Month-to-month,Bank transfer,DSL,0,1,1,0,1
45,105.56,4734.79,Month-to-month,Electronic check,Fiber optic,1,1,1,0,0
28,89.97,2522.63,Month-to-month,Electronic check,None,0,0,1,0,0
65,114.48,7452.95,Two year,Credit card,Fiber optic,0,0,0,0,0
26,39.76,1000.74,One year,Electronic check,Fiber optic,0,1,0,0,0
68,51.03,3506.63,Month-to-month,Electronic check,None,0,0,0,1,1
6,79.89,495.58,Month-to-month,Bank transfer,Fiber optic,0,1,0,0,1
1,22.92,94.01,Month-to-month,Electronic check,Fiber optic,1,0,0,0,0
46,118.71,5494.61,Month-to-month,Electronic check,DSL,0,1,1,0,0
18,82.6,1386.75,Month-to-month,Electronic check,DSL,0,0,0,0,0
40,84.77,3457.33,One year,Electronic check,Fiber optic,0,0,0,1,1
24,74.21,1811.31,Month-to-month,Electronic check,DSL,0,0,1,0,1
67,65.54,4388.27,Month-to-month,Credit card,DSL,0,0,0,0,0
53,31.39,1593.32,Month-to-month,Bank transfer,Fiber optic,0,0,0,1,0
25,21.61,558.19,One year,Electronic check,Fiber optic,0,1,1,1,0
3,37.99,99.95,Month-to-month,Bank transfer,Fiber optic,0,1,1,0,1
51,13.11,630.04,Month-to-month,Electronic check,DSL,0,0,1,1,0
61,78.59,4767.28,Month-to-month,Bank transfer,DSL,0,0,0,0,0
36,29.87,1103.8,One year,Bank transfer,Fiber optic,0,1,1,0,1
26,111.32,2862.49,Month-to-month,Credit card,DSL,0,1,1,1,0
42,22.04,961.7,One year,Credit card,Fiber optic,0,1,0,0,0
59,45.21,2702.35,One year,Credit card,DSL,0,1,1,1,0
52,104.51,5481.56,One year,Electronic check,None,0,1,1,1,0
6,78.36,422.44,Month-to-month,Electronic check,Fiber optic,1,0,1,0,1
55,55.54,2991.99,One year,Credit card,None,0,0,0,0,1
36,90.47,3309.74,One year,Bank transfer,DSL,0,0,0,0,0
41,54.09,2124.18,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
5,27.22,141.15,Month-to-month,Electronic check,DSL,0,1,1,1,1
28,117.77,3342.04,One year,Credit card,DSL,0,0,1,0,0
9,105.96,863.46,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
66,91.17,5948.02,Two year,Bank transfer,None,0,0,1,0,1
21,40.88,884.34,Month-to-month,Electronic check,DSL,0,0,0,1,0
3,65.78,147.94,One year,Credit card,Fiber optic,1,0,1,0,1
47,19.66,972.53,One year,Bank transfer,Fiber optic,0,0,1,0,1
9,14.2,127.29,Month-to-month,Bank transfer,Fiber optic,0,1,0,0,1
22,114.06,2539.64,One year,Bank transfer,Fiber optic,1,1,1,0,0
12,55.98,672.83,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,1
65,34.03,2248.42,One year,Electronic check,None,0,0,0,1,0
11,96.77,924.54,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
34,67.86,2333.48,Month-to-month,Credit card,DSL,0,0,0,1,1
28,82.77,2288.75,Month-to-month,Electronic check,DSL,0,0,0,1,1
32,21.91,745.72,Month-to-month,Electronic check,Fiber optic,0,0,1,1,1
12,59.01,683.82,Two year,Electronic check,DSL,0,0,0,1,0
32,54.9,1678.85,Month-to-month,Electronic check,DSL,0,0,1,0,1
34,42.37,1485.52,Two year,Credit card,DSL,1,0,1,1,0
10,29.61,333.05,Month-to-month,Electronic check,DSL,0,1,0,1,1
67,106.1,7128.38,Two year,Credit card,DSL,0,1,1,0,0
66,91.66,6075.88,Month-to-month,Electronic check,Fiber optic,1,1,0,0,1
64,72.0,4624.61,Month-to-month,Credit card,Fiber optic,0,1,0,1,1
6,40.03,204.86,One year,Credit card,None,1,0,1,0,0
60,79.77,4781.44,Month-to-month,Electronic check,None,0,0,0,0,1
39,55.19,2183.84,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
51,10.23,533.98,One year,Bank transfer,Fiber optic,0,0,0,0,1
15,78.48,1262.39,Month-to-month,Electronic check,DSL,0,1,0,1,1
17,83.25,1328.2,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
6,115.86,639.44,One year,Electronic check,DSL,0,0,0,0,1
40,100.87,4016.16,One year,Electronic check,DSL,0,0,1,1,1
3,18.67,73.75,One year,Electronic check,Fiber optic,0,1,0,0,1
23,44.83,999.68,Two year,Bank transfer,DSL,0,0,1,1,0
5,14.81,61.4,Month-to-month,Bank transfer,Fiber optic,0,1,1,0,0
52,17.5,947.9,Month-to-month,Electronic check,Fiber optic,1,1,1,0,1
50,61.16,3067.01,Month-to-month,Credit card,Fiber optic,0,0,1,0,1
55,32.98,1803.94,Two year,Credit card,Fiber optic,0,0,0,0,1
11,16.68,226.71,Two year,Electronic check,Fiber optic,0,0,0,0,0
17,78.99,1304.39,One year,Credit card,Fiber optic,0,1,1,0,1
42,111.37,4611.36,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
44,100.78,4487.4,One year,Electronic check,None,0,0,1,0,0
59,15.89,822.14,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
20,42.75,865.04,Month-to-month,Credit card,DSL,0,0,1,0,1
19,14.16,253.12,Month-to-month,Bank transfer,Fiber optic,1,0,0,0,0
45,56.26,2510.08,Month-to-month,Electronic check,Fiber optic,0,0,1,1,1
58,112.92,6621.03,Month-to-month,Electronic check,Fiber optic,0,0,0,1,0
1,31.2,49.6,Month-to-month,Electronic check,Fiber optic,1,0,1,1,1
13,90.37,1161.92,One year,Electronic check,Fiber optic,0,0,0,0,1
46,64.52,2925.68,Two year,Bank transfer,DSL,0,0,0,1,0
22,67.16,1477.59,Month-to-month,Credit card,Fiber optic,0,0,0,0,0
17,101.64,1693.59,One year,Electronic check,None,0,1,0,1,1
47,44.22,2098.92,Month-to-month,Electronic check,None,0,0,1,1,0
61,45.75,2903.46,Month-to-month,Bank transfer,DSL,0,0,1,1,1
16,91.17,1405.18,Month-to-month,Bank transfer,None,0,0,0,1,0
20,25.45,542.49,One year,Electronic check,DSL,0,0,1,1,1
45,21.78,986.27,Month-to-month,Bank transfer,DSL,0,0,1,0,1
65,55.12,3592.33,Month-to-month,Credit card,Fiber optic,0,0,1,1,0
33,53.33,1749.66,One year,Credit card,None,0,1,0,0,1
40,43.26,1662.95,Month-to-month,Electronic check,Fiber optic,0,1,0,0,0
49,37.92,1860.96,One year,Electronic check,DSL,0,0,0,1,0
38,106.85,4108.26,Two year,Electronic check,Fiber optic,0,0,0,1,1
40,55.07,2260.92,Month-to-month,Electronic check,None,0,1,1,0,1
15,43.98,632.34,Month-to-month,Electronic check,None,0,1,1,0,1
28,96.56,2682.56,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
52,103.05,5351.82,One year,Electronic check,Fiber optic,1,0,1,0,1
3,87.11,212.59,Month-to-month,Credit card,Fiber optic,0,0,1,1,1
57,116.07,6701.68,Month-to-month,Electronic check,None,0,0,1,0,1
2,23.51,47.23,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
67,59.25,3977.2,Month-to-month,Credit card,Fiber optic,0,1,0,0,1
31,99.22,3088.58,Two year,Bank transfer,Fiber optic,0,1,1,1,0
69,117.16,8066.78,One year,Bank transfer,Fiber optic,0,1,0,0,0
46,31.79,1454.04,One year,Electronic check,Fiber optic,0,0,1,0,0
45,91.81,4030.64,One year,Bank transfer,Fiber optic,0,0,0,0,0
31,33.25,1082.42,Month-to-month,Electronic check,DSL,0,0,1,0,0
70,53.74,3814.45,Two year,Electronic check,Fiber optic,0,0,0,0,0
53,92.62,4957.37,One year,Electronic check,Fiber optic,1,0,0,0,0
40,94.72,3805.37,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
66,16.31,1130.72,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
48,38.1,1862.18,Month-to-month,Electronic check,DSL,1,1,0,0,0
40,115.94,4589.37,Month-to-month,Electronic check,DSL,0,0,0,0,1
12,72.56,888.91,Two year,Credit card,Fiber optic,0,1,0,0,1
38,73.62,2834.85,One year,Electronic check,Fiber optic,0,0,0,1,0
55,38.11,2067.83,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
27,59.58,1516.86,Two year,Electronic check,DSL,0,0,0,0,1
33,39.83,1336.55,Two year,Bank transfer,Fiber optic,1,0,0,0,1
39,25.13,975.21,Month-to-month,Credit card,DSL,0,0,0,0,1
52,41.33,2080.07,Month-to-month,Credit card,Fiber optic,0,0,0,0,0
2,71.33,130.12,Two year,Bank transfer,Fiber optic,0,1,1,0,0
45,67.59,2999.0,Month-to-month,Electronic check,DSL,0,0,0,0,1
49,67.69,3299.02,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
3,47.84,192.76,Month-to-month,Electronic check,DSL,0,0,0,1,1
32,57.96,1887.42,Month-to-month,Bank transfer,Fiber optic,0,0,0,0,1
32,106.11,3396.76,Two year,Bank transfer,None,0,1,0,0,0
50,111.2,5491.43,Month-to-month,Bank transfer,Fiber optic,1,1,1,1,0
16,108.72,1697.07,One year,Credit card,DSL,1,1,0,0,1
46,35.86,1559.19,Two year,Credit card,Fiber optic,0,1,0,0,0
7,79.82,490.78,Month-to-month,Electronic check,Fiber optic,1,0,1,1,1
23,94.45,2192.85,One year,Electronic check,Fiber optic,0,0,1,0,0
9,46.04,389.1,Two year,Electronic check,Fiber optic,0,1,1,0,0
18,62.48,1108.67,One year,Electronic check,Fiber optic,0,1,1,0,1
32,104.19,3341.16,Month-to-month,Electronic check,Fiber optic,1,0,1,1,0
43,87.36,3698.95,One year,Credit card,DSL,0,1,1,0,0
32,89.88,2828.67,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
59,18.78,1225.83,Two year,Bank transfer,None,0,0,0,0,1
39,15.81,628.23,One year,Electronic check,Fiber optic,0,1,0,0,0
50,85.84,4275.32,Month-to-month,Electronic check,Fiber optic,1,0,0,0,0
1,73.0,83.82,Month-to-month,Credit card,Fiber optic,0,0,0,1,1
32,28.81,961.83,Month-to-month,Credit card,DSL,0,1,0,0,1
24,10.48,211.9,Month-to-month,Bank transfer,Fiber optic,1,1,0,0,1
8,35.89,268.36,Month-to-month,Electronic check,None,0,1,1,0,1
1,78.52,118.18,One year,Credit card,DSL,1,0,0,0,1
60,49.86,2971.96,Two year,Electronic check,DSL,0,0,0,0,1
31,81.55,2543.6,Month-to-month,Bank transfer,Fiber optic,0,1,1,1,1
49,26.85,1285.12,One year,Credit card,Fiber optic,0,1,0,1,0
21,81.33,1679.77,Month-to-month,Electronic check,Fiber optic,1,1,1,0,1
65,22.29,1538.68,One year,Electronic check,None,1,1,0,0,0
60,108.53,6457.3,Two year,Credit card,Fiber optic,0,0,1,0,1
3,38.18,110.18,One year,Electronic check,Fiber optic,0,0,1,0,1
71,10.5,689.24,Month-to-month,Electronic check,Fiber optic,1,0,1,0,0
35,98.11,3433.4,Month-to-month,Electronic check,None,0,0,1,1,1
50,45.29,2303.79,Two year,Bank transfer,DSL,0,1,1,0,1
29,55.01,1682.49,Month-to-month,Electronic check,Fiber optic,0,1,1,0,1
5,25.88,124.94,One year,Bank transfer,Fiber optic,1,0,0,0,1
63,32.37,1942.82,Month-to-month,Electronic check,DSL,0,0,1,0,0
48,53.88,2680.52,Month-to-month,Credit card,DSL,1,0,1,1,1
21,42.04,876.04,One year,Bank transfer,Fiber optic,0,0,1,1,0
18,65.59,1187.09,Month-to-month,Electronic check,DSL,0,0,1,0,0
40,39.39,1559.71,Month-to-month,Electronic check,DSL,1,0,0,0,1
15,58.08,862.32,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
17,13.2,231.17,One year,Electronic check,None,0,0,0,0,1
18,65.37,1109.57,Month-to-month,Bank transfer,DSL,0,0,1,0,1
8,76.1,657.75,Month-to-month,Credit card,DSL,0,0,0,0,0
62,108.83,6702.19,One year,Electronic check,None,1,0,0,1,0
36,88.72,3151.32,Month-to-month,Electronic check,DSL,0,1,0,0,1
65,18.66,1146.59,Month-to-month,Electronic check,Fiber optic,0,0,1,0,0
22,50.12,1171.06,Month-to-month,Electronic check,None,0,0,1,0,1
31,93.52,2912.79,Month-to-month,Electronic check,DSL,1,1,1,0,0
58,89.0,5117.21,One year,Credit card,DSL,0,0,1,1,0
46,15.89,706.25,Month-to-month,Electronic check,DSL,0,0,0,0,0
57,13.1,778.13,One year,Electronic check,Fiber optic,1,0,0,1,0
10,64.54,658.15,One year,Bank transfer,DSL,1,0,1,1,0
2,59.23,59.46,One year,Electronic check,Fiber optic,0,0,0,0,0
21,25.1,527.61,One year,Electronic check,None,0,1,0,1,1
17,39.13,625.42,One year,Electronic check,Fiber optic,0,0,1,1,1
16,48.45,787.02,Month-to-month,Credit card,Fiber optic,0,0,1,1,1
36,96.59,3486.67,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
67,38.53,2615.04,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
20,98.62,1916.02,One year,Electronic check,Fiber optic,0,0,1,0,0
70,102.42,7150.72,Two year,Electronic check,Fiber optic,0,1,0,1,1
67,37.15,2496.39,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
39,103.81,4150.1,Month-to-month,Bank transfer,DSL,0,1,0,0,0
32,18.88,556.76,Month-to-month,Credit card,Fiber optic,0,1,0,0,1
12,52.07,727.23,Month-to-month,Electronic check,DSL,0,0,0,0,1
64,20.94,1328.54,Month-to-month,Electronic check,Fiber optic,0,0,0,0,0
65,45.55,3066.43,Month-to-month,Credit card,None,0,0,1,0,0
22,41.15,1002.07,Month-to-month,Bank transfer,Fiber optic,0,1,0,0,1
44,93.74,4066.16,Two year,Electronic check,Fiber optic,0,0,1,0,0
2,101.55,245.78,Month-to-month,Bank transfer,DSL,0,1,0,0,1
15,46.73,700.84,One year,Electronic check,None,0,1,1,0,1
56,47.31,2664.03,Month-to-month,Credit card,Fiber optic,0,0,0,0,0
36,116.12,4188.22,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
11,27.87,336.99,One year,Electronic check,Fiber optic,0,1,0,1,0
50,62.04,3035.69,Two year,Electronic check,DSL,0,1,0,0,1
7,75.11,534.57,Month-to-month,Electronic check,DSL,1,0,1,0,0
11,82.37,919.42,Two year,Credit card,DSL,1,0,0,1,0
47,26.89,1336.18,Month-to-month,Electronic check,DSL,0,0,1,0,0
58,44.88,2569.81,Month-to-month,Credit card,Fiber optic,1,1,0,0,1
27,26.31,626.56,Month-to-month,Credit card,DSL,0,0,0,0,0
15,93.26,1433.55,Month-to-month,Credit card,None,0,1,1,1,0
8,90.03,697.42,Month-to-month,Credit card,Fiber optic,0,0,0,1,1
64,100.4,6439.12,Month-to-month,Credit card,DSL,0,1,1,0,0
31,57.23,1867.23,One year,Credit card,DSL,1,0,0,0,1
46,12.08,495.46,Month-to-month,Electronic check,Fiber optic,0,0,0,1,1
45,108.95,4860.48,One year,Electronic check,Fiber optic,1,0,1,0,0
57,21.61,1246.15,Two year,Bank transfer,None,0,1,1,1,0
32,34.66,1042.19,Month-to-month,Bank transfer,DSL,0,1,1,0,1
42,13.39,568.6,One year,Electronic check,DSL,0,1,1,0,0
58,53.5,3062.93,Month-to-month,Electronic check,DSL,0,1,1,0,0
11,86.37,909.12,Month-to-month,Electronic check,Fiber optic,0,1,0,1,1
34,112.18,3846.05,One year,Electronic check,Fiber optic,0,1,1,1,1
49,70.3,3424.72,Month-to-month,Credit card,Fiber optic,0,1,1,0,1
45,19.61,860.79,One year,Credit card,Fiber optic,0,1,0,1,0
50,107.26,5382.04,Two year,Credit card,DSL,0,0,0,0,0
30,20.83,571.12,One year,Electronic check,Fiber optic,1,1,1,0,0
32,32.43,1074.59,One year,Electronic check,Fiber optic,0,1,1,0,0
9,34.21,347.98,Month-to-month,Electronic check,DSL,0,0,1,1,1
37,107.47,4033.33,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
53,55.06,2863.8,Month-to-month,Bank transfer,Fiber optic,0,1,0,1,1
63,102.78,6479.52,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
17,71.24,1213.4,One year,Electronic check,Fiber optic,0,0,0,0,1
6,62.57,446.69,Month-to-month,Bank transfer,DSL,0,0,1,0,0
43,96.57,4215.86,Month-to-month,Credit card,DSL,0,0,1,1,0
68,33.2,2272.64,Month-to-month,Bank transfer,DSL,0,1,0,0,1
50,39.88,1940.45,One year,Electronic check,None,0,1,1,1,0
62,110.26,6779.65,Month-to-month,Credit card,DSL,1,1,0,0,0
54,76.42,4111.76,Month-to-month,Electronic check,DSL,0,1,0,0,0
35,51.88,1780.12,One year,Electronic check,Fiber optic,0,1,1,1,0
70,79.21,5567.79,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
36,92.42,3385.44,Month-to-month,Credit card,Fiber optic,0,0,0,1,1
69,88.33,6049.56,Two year,Electronic check,Fiber optic,0,1,0,0,0
27,65.63,1724.81,Two year,Credit card,Fiber optic,0,1,1,0,1
46,78.64,3665.88,Month-to-month,Electronic check,None,0,1,1,1,0
18,36.04,669.76,One year,Electronic check,DSL,0,0,0,0,0
52,63.02,3256.14,One year,Credit card,Fiber optic,1,0,1,0,1
41,107.11,4397.47,One year,Electronic check,None,0,1,1,1,0
69,110.57,7539.48,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
4,12.4,27.57,One year,Electronic check,None,0,0,1,1,1
64,37.98,2421.93,Two year,Credit card,Fiber optic,0,0,1,0,0
